reason,name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceWorkbook,sourceSheet,sourceRow,confidence
missing_manufacturer,Schluter edge is texture beige 10' (4) or (6) 8',A100TSC,,ProSource,Schluter edge is texture beige 10' (4) or (6) 8' 173.778 141.768,Flooring,ea,,,beige,,141.77,https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A100TSC?siteUid=schluter-us&siteName=schluter.com,,Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Master | Raw Extract | Sheet1,62 | 164 | 153 | 119,high
missing_manufacturer,Shower Wall Elbow,A725BG,,Ferguson,Shower Wall Elbow 66.55 1.0,Plumbing,ea,,,,,66.55,,,Product_Master_Audit_Pass.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product_Occurrences | Product_Master | Sheet1,620 | 592 | 190,high
missing_manufacturer,Shower El,A725BN,,Ferguson,Shower El 65.538 1.0,Plumbing,ea,,,,,65.54,,,Product_Master_Audit_Pass.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product_Occurrences | Product_Master | Sheet1,681 | 652 | 215,high
missing_manufacturer,Schulter Edging 32' Griege,A80TSBG,,,Schulter Edging 32' Griege 160 ProSource,,ea,,,,,0.00,https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A80TSBG,,compiled_products_db.xlsx,Sheet1,116,high
missing_manufacturer,Pendant Lights,ATHENSDECOSWIRLPENDANTQTY2,,Idlewood,Athens Deco Swirl Pendant Qty 2,Kitchen,ea,,,,,291.64,,,,Gapinske Jane 40097-LNC  6.19.2,10,medium
missing_manufacturer,Mounted Shower Rod 0.,B0014XAPZC,,Amazon,Mounted Shower Rod 67.198857 67.2,Plumbing,ea,,,,,67.20,https://www.amazon.com/Zenna-Home-648SS-Builder-Curtain/dp/B0014XAPZC?th=1,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,249 | 177,high
missing_manufacturer,Bath Tub Drain - Match finishes,B0F6PZTBN,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/jones-stephens-b0f16pztbn/s2054315?uid=4932875,,Product_Master_Enhanced.xlsx,Product Library | Raw Records,72 | 268,high
missing_manufacturer,Bath Tub Drain - Match finishes,B0PZLMB,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/jones-stephens-b0pzlmb/s2054351?uid=4932885,,Product_Master_Enhanced.xlsx,Product Library | Raw Records,73 | 25,high
missing_manufacturer,Tub Drain Kit,B2S24PZLCP,,Ferguson,,Tub,ea,,,,,49.09,https://www.fergusonhome.com/jones-stephens-b2s24pzlcp/s2054377?uid=4932900,,Product_Master_Enhanced.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Product Occurrences,74 | 80 | 132 | 83,high
missing_manufacturer,LVP Flooring Walnut Glen 24 SQ FT,B47,,Home Depot,,,sqft,,,,,138.13,https://www.homedepot.com/p/Lifeproof-Walnut-Glen-22-MIL-x-7-4-in-W-x-47-8-L-Waterproof-Click-Lock-Luxury-Vinyl-Plank-Flooring-19-8-sqft-case-67400-500-07B47/328123953,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,54 | 166 | 51 | 106 | 265,high
missing_manufacturer,Garbage Disposal,BADGER5WC,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/insinkerator-badger-5/s434080?uid=2564868,,Product_Master_Enhanced.xlsx,Product Library | Raw Records,75 | 72 | 126,high
missing_manufacturer,Elega 24 in. W x 32 in. H Rectangular Aluminum Recessed/Wall Mount Dimmable Fogless Lighted Medicine,BLMC2432,,Home Depot,Elega 24 in. W x 32 in. H Rectangular Aluminum Recessed/Wall Mount Dimmable Fogless Lighted Medicine Cabinet with Mirror Garwood Model #,Electrical,ea,,,,,32.00,,,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,11,high
missing_manufacturer,Amerock Blackrock 1 /8 Inch Mushroom Cabinet Knob (17),BP55272G10,,Ferguson,,Cabinetry,ea,,,,,159.14,https://www.fergusonhome.com/amerock-bp55272/s439071?uid=1315570,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,76 | 129 | 64,high
missing_manufacturer,Kitchen Amerock Blackrock 1 /8 Inch Mushroom Cabinet Knob (17),BP55272G10,,Ferguson,Kitchen Amerock Blackrock 1-5/8 Inch Mushroom Cabinet Knob (17) 159.137,Cabinetry,ea,,,black,black,159.14,https://www.fergusonhome.com/amerock-bp55272/s439071?uid=1315570,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,125 | 99,high
missing_manufacturer,Amerock Blackrock 6 /16 Inch Center to Center Handle Cabinet Pull (5),BP55278G10,,Ferguson,Amerock Blackrock 6-5/16 Inch Center to Center Handle Cabinet Pull (5) 51.975,Cabinetry,ea,,,black,black,51.98,https://www.fergusonhome.com/amerock-bp55278/s439698?uid=1315579,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,77 | 130 | 65 | 126 | 100,high
missing_manufacturer,Shower Wall & Tub Deck Tile 24 X 24 TTL 328 Sq Ft,BR30,,,Shower Wall & Tub Deck Tile 24 X 24 TTL 328 Sq Ft Coastline 3000 1936.77 ProSource,,sqft,,,,,1936.77,https://www.daltile.com/products/stone-look/bryne/coastline,,compiled_products_db.xlsx,Sheet1,222,high
missing_manufacturer,Shower Base Tile 15 Sq Ft Matte Mist ProSource,BR31,,,,,sqft,,,,,0.00,https://www.daltile.com/products/stone-look/bryne/mist,,compiled_products_db.xlsx,Sheet1,221,high
missing_manufacturer,"Free Standing Combo 48"" Vanity Open bottom",C1654834543,,Wayfair,"Free Standing Combo 48"" Vanity Open bottom 1200 1926.839175 1613.38",Cabinetry,ea,,,,,1926.84,https://www.wayfair.com/home/pdp/sand-stable-carrie-48-single-bathroom-vanity-set-w002974012.html?piid=1654995866%2C1654834543,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,139 | 108,high
missing_manufacturer,Cap A Treads Need: 14 Risers - 12 Treads 14 PCS,CA78096,,Home Depot,Cap A Treads Need: 14 Risers - 12 Treads 14 PCS 01D- 2200 1990.91235,Flooring,ea,,,,,1990.91,https://www.homedepot.com/p/Cap-A-Tread-2-Pack-Navarra-Maple-47-in-L-x-12-15-in-W-x-2-28-in-T-Vinyl-Overlay-Stair-Tread-and-Reversible-Riser-01D-CA78096/333401871,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,132 | 103,high
missing_manufacturer,Shower Arm,CL10154BN,,Ferguson,Shower Arm 52.074000000000005 1.0,Plumbing,ea,,,,,52.07,,,Product_Master_Audit_Pass.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product_Occurrences | Product_Master | Sheet1,677 | 648 | 212,high
