workbook,sheet,row,name,modelNumber,manufacturer,vendor,description,category,price,url,finish,color,collection,is_noise
normalized_products_db.xlsx,Sheet1,1077,Floor Tile 30 SQ FT 800 with Wall order  ProSource  0.0 2025-10-15 00:00:00 1.0 0.0,,,ProSource,Floor Tile 30 SQ FT 800 with Wall order  ProSource  0.0 2025-10-15 00:00:00 1.0 0.0,Flooring,0,,,,,0
normalized_products_db.xlsx,Sheet1,1078,5 Pcs Schulter Edging  with Wall order  ProSource  0.0 0.0 0.0,,,ProSource,5 Pcs Schulter Edging  with Wall order  ProSource  0.0 0.0 0.0,,,,,,,0
normalized_products_db.xlsx,Sheet1,1079,Grout - Mink 25 + 10 lbs  88.52 Floor & Décor  0.0 2025-10-16 00:00:00 0.0 0.0,,,Floor & Décor,Grout - Mink 25 + 10 lbs  88.52 Floor & Décor  0.0 2025-10-16 00:00:00 0.0 0.0,Flooring,0,,,,,0
normalized_products_db.xlsx,Sheet1,1080,(1) Caulk - Mink  Floor & Décor  Floor & Décor  0.0 0.0 0.0,,,Floor & Décor,(1) Caulk - Mink  Floor & Décor  Floor & Décor  0.0 0.0 0.0,Flooring,,,,,,0
normalized_products_db.xlsx,Sheet1,1081,Towel bars & Toilet Paper  Ferguson Order  Ferguson 0.0 0.0 0.0,,,Ferguson,Towel bars & Toilet Paper  Ferguson Order  Ferguson 0.0 0.0 0.0,Plumbing,,,,,,0
normalized_products_db.xlsx,Sheet1,1085,ADD-ON  *** Shower Door Clear Glass  801.5 Ferguson DEL 11/21 Rush  0.0 0.0 0.0,,,Ferguson,ADD-ON  *** Shower Door Clear Glass  801.5 Ferguson DEL 11/21 Rush  0.0 0.0 0.0,Plumbing,21,,,,,0
normalized_products_db.xlsx,Sheet1,1086,Main Bath  Quartz - Mystic Gray Full Bull Nose  CACJR Granite CACJR Granite 0.0 0.0 0.0,,,CACJR,Main Bath  Quartz - Mystic Gray Full Bull Nose  CACJR Granite CACJR Granite 0.0 0.0 0.0,,,,,,,0
normalized_products_db.xlsx,Sheet1,1095,Faucet  - Ferguson Order  1250 3789.27 Ferguson  0.0 2025-08-06 00:00:00 False 0.0,,,Ferguson,Faucet  - Ferguson Order  1250 3789.27 Ferguson  0.0 2025-08-06 00:00:00 False 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1115,Tile  Shower Walls Tile 24 x 48 900 1572.93 ProSource  0.0 2025-08-05 00:00:00 True 0.0,,,ProSource,Tile  Shower Walls Tile 24 x 48 900 1572.93 ProSource  0.0 2025-08-05 00:00:00 True 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1116,Floor tile  12 x 24 size change  600 ProSource  0.0 2025-08-05 00:00:00 True 0.0,,,ProSource,Floor tile  12 x 24 size change  600 ProSource  0.0 2025-08-05 00:00:00 True 0.0,Flooring,0,,,,,0
