manufacturer,manufacturerNorm,modelNumber,modelStem,name,description,category,unit,tier,collection,color,finish,productUrl,imageUrl,confidence,sourceWorkbook,sourceSheet,sourceRow,rowsInKey,distinctNamesInKey,distinctVendorsInKey,distinctColorFinishInKey
Kohler,kohler,K37891,K37891,Faucet with Drain,,Faucet,ea,,,,,https://www.fergusonhome.com/kohler-k-37891-4/s2060938?uid=5032946,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,192 | 175 | 147 | 240 | 274 | 164 | 127,1,1,1,0
Kohler,kohler,K-706015,K706015,"Levity 74"" High x 59 /8"" Wide Bypass Frameless Shower Door with Clear Glass",Shower Door,Uncategorized,ea,,,black,black,https://www.fergusonhome.com/kohler-k-706015-l/s847083?uid=2180321,,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,21 | 38 | 162 | 163 | 17 | 115 | 117 | 118 | 224 | 193 | 22 | 112 | 23 | 91,1,1,1,1
Kohler,kohler,K-728,K728,Shower Diverter Valve,,Shower,ea,,,,,https://www.fergusonhome.com/kohler-k-728-k/s563836?uid=1253173,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,164 | 53 | 119 | 225 | 42 | 58 | 54,1,1,1,0
Kohler,kohler,K-737,K737,Shower Diverter Valve,Chrome Shower Diverter Valve -K-NA 228.78900000000002,Shower,ea,,,chrome,chrome,https://www.fergusonhome.com/kohler-k-8304-ks/s1251522?uid=2992369,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,165 | 205 | 120 | 188 | 140,1,1,1,1
Kohler,kohler,K-76464,K76464,"Shower Fixture / 8"" Rain Head",,Shower,ea,,,,,https://www.fergusonhome.com/kohler-k-76464-y/s1882332?uid=4453295,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,166 | 47 | 121 | 226 | 36 | 52 | 48,1,1,1,0
Kohler,kohler,K-8304,K8304,Shower Fixures / Valve,,Shower,ea,,,,,https://www.fergusonhome.com/kohler-k-8304-ks/s1251522?uid=2992369,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,167 | 168 | 46 | 152 | 190 | 122 | 27 | 35 | 250 | 51 | 47 | 707 | 747,1,1,1,0
Kohler,kohler,K-9660,K9660,Shower Vacumn,,Shower,ea,,,,,https://www.fergusonhome.com/kohler-k-9660/s564929?uid=176525,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,169 | 51 | 125 | 227 | 40 | 56 | 52,1,1,1,0
Kohler,kohler,K-98350,K98350,Shower Elbow Awaken,,Shower,ea,,,,,https://www.fergusonhome.com/kohler-k-98350/s946764?uid=2359596,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,170 | 50 | 126 | 228 | 39 | 55 | 51,1,1,1,0
Kohler,kohler,K-99007,K99007,"Lighted Medicine Cabinets - Over Sinks (2) 24""x30""","Lighted Medicine Cabinets - Over Sinks (2) 24""x30"" -TLC-NA 2349.38 1.0",Sink,ea,,,,,https://www.fergusonhome.com/kohler-k-99007-tlc/s1533945?uid=3597983,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,171 | 224 | 127 | 204 | 142,1,1,1,0
Kohler,kohler,K-99242,K99242,Shoer - Awaken Handshower Kit,,Shower,ea,,,,,https://www.fergusonhome.com/kohler-k-99242-y/s1888445?uid=4466346,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,172 | 49 | 128 | 229 | 38 | 54 | 50,1,1,1,0
